#K-Path     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  0.0000  -12.2325   -0.3983   -0.3983   -0.3983    2.1613    2.1613    2.1613    2.7365    7.3808    7.3808    7.4734   10.8064   10.8064   10.8064   14.8724   22.6880   22.6880   22.6880   23.8425   23.8425   25.0793   25.0793   25.0793   28.5609   28.5609   28.5610   34.4992   34.4994   34.4994   37.4244   38.3133   38.3133   39.9893   39.9893   41.3248   41.3248   41.3248   43.0893   43.0894   43.0894   43.5834   44.1458   44.1458   44.1458   44.1487   44.1487   44.1487   45.5399   45.5399   45.5400   49.4206   50.6415   50.6415   50.6415   50.8604   50.8604   50.8604   55.6661   56.5600   65.7246   65.7246   68.5770   68.5770   68.5770
  0.0295  -12.2296   -0.4190   -0.4106   -0.4106    2.1543    2.1771    2.1771    2.7568    7.3566    7.3839    7.4862   10.8114   10.8114   10.8235   14.8934   22.6363   22.6363   22.6916   23.8020   23.8074   25.1064   25.1151   25.1152   28.5834   28.5834   28.6036   34.4768   34.4769   34.4769   37.4414   38.2565   38.3052   39.9025   39.9842   41.3238   41.3362   41.3362   43.0061   43.0061   43.1096   43.6713   44.0012   44.0012   44.1630   44.1893   44.2191   44.2191   45.5554   45.7181   45.7182   49.3371   50.2948   50.2948   50.7336   50.8423   51.2234   51.2234   55.6991   56.5792   65.5411   65.7270   68.5698   68.5698   68.6548
  0.0589  -12.2211   -0.4795   -0.4464   -0.4464    2.1332    2.2234    2.2234    2.8159    7.2865    7.3934    7.5241   10.8264   10.8264   10.8728   14.9560   22.4912   22.4912   22.7023   23.6849   23.7104   25.1796   25.2126   25.2126   28.6509   28.6509   28.7271   34.4100   34.4101   34.4105   37.4899   38.0921   38.2811   39.6695   39.9695   41.3195   41.3693   41.3693   42.7915   42.7915   43.1534   43.6989   43.6989   43.9257   44.2057   44.3145   44.3945   44.3945   45.6015   46.1226   46.1226   49.1364   49.8747   49.8748   50.7897   50.9607   51.6923   51.6923   55.7962   56.6366   65.0663   65.7340   68.5463   68.5464   68.8203
  0.0884  -12.2070   -0.5755   -0.5034   -0.5034    2.0990    2.2979    2.2979    2.9089    7.1767    7.4091    7.5864   10.8514   10.8514   10.9493   15.0596   22.2750   22.2750   22.7202   23.5019   23.5682   25.2822   25.3492   25.3492   28.7635   28.7636   28.9205   34.3001   34.3002   34.3037   37.5620   37.8358   38.2419   39.3472   39.9459   41.3089   41.4203   41.4203   42.4910   42.4911   43.2060   43.3844   43.3844   44.2761   44.3084   44.5073   44.6211   44.6212   45.6775   46.6180   46.6180   48.8866   49.4675   49.4675   50.7082   51.2570   52.1813   52.1813   55.9526   56.7313   64.4233   65.7455   68.5005   68.5006   68.9797
  0.1179  -12.1871   -0.7003   -0.5772   -0.5772    2.0526    2.3976    2.3976    3.0293    7.0361    7.4312    7.6724   10.8891   10.8891   11.0484   15.2038   22.0234   22.0234   22.7636   23.2666   23.3954   25.3997   25.5075   25.5075   28.9226   28.9226   29.1700   34.1495   34.1495   34.1606   37.5063   37.6414   38.1885   38.9928   39.9151   41.2915   41.4844   41.4845   42.1340   42.1340   43.1097   43.1097   43.2678   44.3730   44.7485   44.7748   44.8735   44.8735   45.7823   47.1550   47.1550   48.6239   49.0787   49.0787   50.6056   51.6082   52.6947   52.6947   56.1615   56.8630   63.6921   65.7615   68.4209   68.4210   69.1001
  0.1474  -12.1617   -0.8500   -0.6660   -0.6660    1.9952    2.5178    2.5178    3.1688    6.8738    7.4596    7.7803   10.9340   10.9340   11.1597   15.3856   21.7243   21.7243   22.7959   22.9919   23.2018   25.5218   25.6635   25.6635   29.1247   29.1248   29.4622   33.9605   33.9606   33.9852   37.1211   37.6882   38.1225   38.6695   39.8789   41.2620   41.5278   41.5279   41.7589   41.7589   42.8870   42.8871   43.3398   44.4950   45.0153   45.1402   45.1402   45.2905   45.9143   47.7152   47.7152   48.3675   48.7068   48.7068   50.4898   51.9678   53.2172   53.2172   56.4153   57.0274   62.9127   65.7816   68.2870   68.2871   69.1831
  0.1768  -12.1306   -1.0183   -0.7655   -0.7654    1.9283    2.6555    2.6555    3.3197    6.6998    7.4943    7.9087   10.9889   10.9889   11.2803   15.6034   21.4041   21.4041   22.6883   22.8359   22.9936   25.6427   25.8118   25.8119   29.3685   29.3685   29.7857   33.7362   33.7363   33.7805   36.6944   37.6121   38.0455   38.4824   39.8396   41.2225   41.2891   41.2891   41.6339   41.6340   42.7228   42.7228   43.4233   44.6404   45.2828   45.4163   45.4163   45.8358   46.0720   48.1354   48.2793   48.2793   48.3666   48.3666   50.3703   52.3475   53.7556   53.7556   56.7066   57.2241   62.1085   65.8056   68.0772   68.0773   69.2403
  0.2063  -12.0939   -1.2013   -0.8726   -0.8726    1.8535    2.8076    2.8076    3.4735    6.5161    7.5353    8.0561   11.0534   11.0534   11.4055   15.8542   21.0674   21.0674   22.3642   22.7545   22.8836   25.7432   25.9483   25.9483   29.6500   29.6501   30.1315   33.4748   33.4749   33.5470   36.1933   37.3436   37.9591   38.4822   39.7998   40.8812   40.8812   41.1670   41.6336   41.6337   42.6303   42.6303   43.5177   44.8075   45.5198   45.6979   45.6979   46.2538   46.3950   47.9474   48.0241   48.0241   48.8798   48.8798   50.2567   52.7452   54.3092   54.3092   57.0281   57.4507   61.2189   65.8330   67.7767   67.7768   69.2796
  0.2358  -12.0516   -1.3949   -0.9848   -0.9848    1.7723    2.9718    2.9718    3.6205    6.3507    7.5825    8.2207   11.1279   11.1279   11.5347   16.1352   20.7252   20.7252   22.0257   22.5284   22.9397   25.8485   26.0719   26.0720   29.9651   29.9652   30.4924   33.1893   33.1894   33.2884   35.7144   37.0072   37.8651   38.6055   39.7621   40.4711   40.4711   41.1087   41.5836   41.5836   42.6198   42.6198   43.6227   44.9946   45.6879   45.9801   45.9801   46.4578   46.9560   47.7249   47.7250   47.8417   49.4736   49.4736   50.1620   53.1604   54.8786   54.8787   57.3712   57.7051   60.4065   65.8633   67.3923   67.3924   68.7839
  0.2652  -12.0037   -1.5975   -1.1020   -1.1020    1.6855    3.1450    3.1450    3.7491    6.2080    7.6332    8.4011   11.2087   11.2087   11.6654   16.4430   20.3638   20.3638   21.6599   22.2941   23.0035   25.9402   26.1665   26.1665   30.3054   30.3054   30.8622   32.8520   32.8520   32.9998   35.2177   36.6573   37.7466   38.7723   39.7234   40.0652   40.0652   41.0427   41.4789   41.4789   42.6700   42.6700   43.7339   45.2000   45.7421   46.2510   46.2511   46.6825   47.4635   47.4635   47.4992   47.8495   50.0732   50.0732   50.1030   53.5919   55.4589   55.4589   57.7186   57.9832   59.6137   65.8774   66.8073   66.8074   68.0894
